1:0:1:10FE:0:1:EB2D7C:0:0:0:	4350 - PLUS Lublin
1:0:1F:22CE:434:1:C00000:0:0:0:	4K UHD - EVENEMENT
1:0:16:3338:45B:1:C00000:0:0:0:	4MEDIATHEK
1:0:1:1417:403:1:C00000:0:0:0:	5 Int
1:0:1:1388:0:1:EB2D7C:0:0:0:	5000 - Testowy 1
1:0:1:1392:0:1:EB2D7C:0:0:0:	5010 - Testowy 2
1:0:19:1F4B:42E:1:C00000:0:0:0:	6TER
1:0:1:141B:403:1:C00000:0:0:0:	8 TV RU
1:0:1:1F4A:0:1:EB2D7C:0:0:0:	8010 - Radio Rodzina
1:0:19:2070:432:1:C00000:0:0:0:	A LA UNE
1:0:16:192:B:85:C00000:0:0:0:	A&E
1:0:19:1F42:42E:1:C00000:0:0:0:	A+
1:0:19:16A8:3FF:1:C00000:0:0:0:	a.tv HD
1:0:16:11E2:406:1:C00000:0:0:0:	Aaj Tak UK
1:0:19:427D:446:1:C00000:0:0:0:	AB1
1:0:16:1006:451:35:C00000:0:0:0:	AB3
1:0:1:3154:459:1:C00000:0:0:0:	Achtung Sexy TV
1:0:1:314C:459:1:C00000:0:0:0:	Achtung Sexy TV temp
1:0:19:4286:446:1:C00000:0:0:0:	ACTION
1:0:16:1810:C82:3:EB0000:0:0:0:	Adventure TV
1:0:1:4E32:C8B:3:EB0000:0:0:0:	Agro TV HD
1:0:1:4E86:C86:3:EB0000:0:0:0:	Al Jazeera
1:0:1:1B61:3FC:1:C00000:0:0:0:	Al Jazeera Channel
1:0:1:1158:404:1:C00000:0:0:0:	Al Jazeera English
1:0:19:13A7:3EA:1:C00000:0:0:0:	Al Jazeera English HD
1:0:1:2762:402:1:C00000:0:0:0:	Algerie 3
1:0:1:756A:412:1:C00000:0:0:0:	ALQ XXHARD
1:0:1:75B0:422:1:C00000:0:0:0:	ALQUILER
1:0:1:75B2:422:1:C00000:0:0:0:	ALQUILER
1:0:1:768E:41E:1:C00000:0:0:0:	ALQUILER 1
1:0:1:768F:41E:1:C00000:0:0:0:	ALQUILER 2
1:0:19:785E:41A:1:C00000:0:0:0:	ALQUILER 2 HD
1:0:1:7567:412:1:C00000:0:0:0:	ALQUILER 3
1:0:1:756F:412:1:C00000:0:0:0:	ALQUILER 4
1:0:1:7565:412:1:C00000:0:0:0:	ALQUILER 5
1:0:1:7566:412:1:C00000:0:0:0:	ALQUILER 6
1:0:19:7854:41A:1:C00000:0:0:0:	ALQUILER HD
1:0:1:7568:412:1:C00000:0:0:0:	ALQUILER X
1:0:1:7569:412:1:C00000:0:0:0:	ALQUILER XX
1:0:1:7695:41E:1:C00000:0:0:0:	ALQUILER XY
1:0:1:3163:459:1:C00000:0:0:0:	ALT Sendersuchlauf starten!!
